,username,comment_karma,submission_karma,karma_ratio,avg_comment_similarity,avg_toxicity,avg_reply_speed,avg_comment_time_interval
30,SenorBeef,40,32,1.25,0.419869013,0.005637969,0 days 00:20:28,7 days 07:11:54
31,Aggressive_Finger579,11,1,11,0.321196538,0.227636021,0 days 09:54:30,0 days 00:00:26
32,Downtowarkb,50,1,50,0.196079564,0.070819866,0 days 12:17:24,0 days 00:00:14
33,xansochi,294,1,294,0.520197035,0.001150634,0 days 02:16:11,0 days 00:00:24
34,Backgroundbv,-15,1,-15,0.198609058,0.399453504,0 days 04:15:20,0 days 00:00:14
35,MixedRapidity,15,1,15,0.410173306,0.091629458,0 days 00:34:05,0 days 17:35:04
36,mynkamerve,30,222,0.1351,0.342458696,0.112804788,0 days 00:28:48,5 days 12:08:00
37,legoholamoo,208,310,0.671,0.590814236,0.233793178,0 days 00:40:06,1 days 19:09:21
38,cuspiafc,2,1,2,0.157661907,0.000948545,0 days 13:19:19,0 days 00:00:16
39,kakashi4ok,9,1,9,0.23617757,0.000974441,0 days 04:33:49,0 days 00:01:32
40,thierryleblanyi,158,1,158,0.553171024,0.155111529,0 days 07:16:06,0 days 00:00:56
41,Fhaingsk,108,6229,0.0173,0.703641952,0.334093631,0 days 00:15:43,13 days 12:42:35
42,Barbecx,3,1,3,0.415796975,0.005295812,0 days 00:16:35,1 days 05:51:37
43,Lakapparygd,33,115,0.287,0.410285579,0.002281137,0 days 00:16:11,4 days 00:02:49
44,UpstateAlight72,3,1,3,0.020410432,0.064627259,0 days 01:51:34,0 days 00:28:27
45,chitatsjy,13,842,0.0154,0.56383525,0.001634141,1 days 17:14:49,0 days 01:56:47
46,conkeysoundhq,48,1444,0.0332,0.390431242,0.001344267,1 days 12:25:36,0 days 03:15:24
47,FickleEntrepreneu,18,1,18,0.433214914,0.025042711,0 days 02:36:37,0 days 00:00:35
48,Automatic_Suc,-23,1,-23,0.571927394,0.21050066,0 days 08:53:00,0 days 00:00:19
49,Unhapolasvgf,12,1,12,0.738361952,0.014713883,0 days 02:29:32,0 days 18:05:19
50,kubafundipd,421,1,421,0.598978548,0.007740465,0 days 01:38:08,0 days 01:08:16
51,fondsbrilhz,4,1,4,0.580558655,0.007577647,0 days 14:50:16,0 days 00:00:15
52,IvaSwinton,118,1,118,0.709992765,0.036128893,2 days 23:35:27,12 days 09:59:01
53,CryptoColon,24,1,24,0.462486431,0.158853098,0 days 04:53:38,0 days 00:00:49
54,Mysterious_Fer,21,1,21,0.223685707,0.01922399,0 days 09:40:27,0 days 00:00:22
55,HistoricalAm,0,1,0,0.623602294,0.283510839,0 days 02:20:44,0 days 00:00:51
56,No-Education-4082,59,1,59,0.365432008,0.162323433,0 days 03:52:00,0 days 00:00:24
57,ElliotDictator,5,1,5,0.688298396,0.251731205,0 days 01:50:34,15 days 22:27:37
58,Individual_Drink162,22,1,22,0.217794152,0.197356219,0 days 07:09:55,0 days 00:00:31
59,illitsPoordrr,127,1,127,0.682501989,0.235025579,0 days 03:46:52,0 days 14:06:50
60,tominogrt,23,36,0.6389,0.560821337,0.04865618,0 days 00:13:43,23 days 04:25:40
61,usadilozz,45,587,0.0767,0.360324191,0.000705077,0 days 00:00:54,0 days 00:48:03
62,bakezillapk,16,648,0.0247,0.393314833,0.09501391,0 days 00:53:07,165 days 11:47:08
63,vossejarhe,7,1,7,0.597116322,0.025158131,0 days 01:38:14,0 days 00:00:42
64,tropotbw,127,1,127,0.502971881,0.113279557,0 days 03:42:57,0 days 00:00:30
65,mioasislq,-3,1,-3,0.445670297,0.072240213,0 days 08:08:52,0 days 00:00:25
66,dapaulasafh,59,1,59,0.536807668,0.10068555,0 days 04:56:24,0 days 00:00:21
67,jarbythedoorkh,-33,1,-33,0.498893017,0.248236199,0 days 01:49:57,0 days 00:00:35
68,acicarronb,92,1,92,0.614888132,0.018011,0 days 06:42:25,0 days 00:00:22
69,vatinukasgh,14,1,14,0.63875462,0.09366851,0 days 05:55:51,0 days 00:01:09
70,cosmicdancersjk,2,1,2,0.503717245,0.15817764,0 days 02:29:29,0 days 00:01:01
71,e2r3a3kukys,65,1,65,0.56769663,0.259333428,0 days 02:37:56,0 days 00:01:06
72,1glasib,0,1,0,0.486748604,0.146613333,0 days 01:11:50,0 days 00:30:08
73,w8229549,-3,1,-3,0.270916241,0.001056285,0 days 01:11:24,0 days 00:29:59
74,outrightfoal480,3,1,3,0,0.06151515,0 days 01:12:04,0 days 00:32:19
75,Horror_Constan,3,1,3,0.554180644,0.04593887,0 days 05:30:56,0 days 00:00:16
76,Typicalecovergd,-4,1,-4,0.616523366,0.244995964,0 days 01:43:19,0 days 00:01:07
77,CommercialClient51,15,1,15,0.455091915,0.227118331,0 days 04:49:40,0 days 00:00:22
78,moidwayinfonixc,-8,1,-8,0.578895741,0.062159301,0 days 11:47:43,0 days 00:00:16
79,pc29lo,10,1,10,0.443280146,0.06416026,0 days 07:10:11,0 days 00:00:20
80,ntyriminger,1,1,1,-0.012195796,0.009959643,0 days 01:32:47,0 days 00:33:21
81,initialshuffler,1,1,1,0.447320634,0.007077242,0 days 10:34:25,0 days 00:00:20
82,Suitable-Method3245,58,45,1.2889,0.63873191,0.070321019,0 days 03:59:10,0 days 04:20:08
83,NulkStomomocg,2,1,2,0.498005126,0.453800851,0 days 00:22:38,0 days 00:27:56
84,Subartaspz,8,1,8,0.759198257,0.011729622,0 days 03:37:26,0 days 18:04:11
85,Acceptable_Roun,3,1,3,0.31876517,0.447079635,0 days 00:25:39,0 days 00:27:49
86,EmbarrassedCoun,27,1,27,0.519157571,0.197670239,0 days 07:11:42,0 days 00:00:24
87,Andresallison99,-5,1,-5,0.504100657,0.177693197,0 days 04:30:56,0 days 00:00:30
88,Zealousideal_Gas3218,2,1,2,0.444842799,0.000823206,0 days 09:36:26,0 days 00:00:19
89,Glass_Injury_6374,10,1,10,0.376105145,0.001019099,0 days 07:01:41,0 days 00:00:18
90,SurroundRealistic354,0,1,0,0.42755702,0.000909242,0 days 10:34:42,0 days 00:00:21
91,NetGroundbreakin,87,1,87,0.517281383,0.054336076,0 days 05:42:06,0 days 00:00:20
92,thenewjordy,23,1,23,0.655033457,0.089010654,0 days 07:44:46,0 days 00:00:40
93,Painarou53,17,1,17,0.432653226,0.083936305,0 days 07:24:46,0 days 00:00:21
94,UnitedConferenc,210,15,14,0.229210203,0.011312698,0 days 11:45:41,0 days 00:00:10
95,WinterDefian,138,1,138,0.491766791,0.0139559,0 days 11:08:54,0 days 00:00:17
96,StatusCauliflo,4,1,4,-0.121000854,0.00165979,0 days 01:21:04,0 days 00:27:42
97,onlypersuade963,21,1,21,0.510142409,0.05997466,0 days 04:32:02,0 days 00:00:24
98,DegreeElectric,4,1,4,0.620247641,0.352977251,0 days 11:30:21,0 days 00:00:15
99,Rickeygraves,2,1,2,0.619658331,0.20349072,0 days 03:44:04,0 days 00:56:20
100,yaoyanke,120,448,0.2679,0.36615817,0.046910866,2 days 14:59:19,46 days 09:07:15
101,JitteryFriendliness,9,1,9,0.666267935,0.19026086,0 days 07:40:23,0 days 00:01:02
102,racialacreage,61,1,61,0.322033733,0.13382873,0 days 00:49:26,6 days 22:50:39
103,Jumpy_Conflict,2,1,2,0.639346236,0.217281994,0 days 10:02:45,0 days 00:00:16
104,Fabulous-Row-7186,30,1,30,0.700193011,0.001067299,0 days 00:28:02,6 days 00:45:36
105,Combinatioughg,196,59,3.322,0.225070271,0.026001342,0 days 13:57:06,0 days 00:00:15
106,Spirituaxampl,77,1,77,0.503802163,0.125609811,0 days 02:27:17,0 days 00:09:04
107,NeitherLobste,113,1,113,0.672789422,0.28768891,0 days 06:19:51,0 days 00:00:24
108,Extension_Eas,118,1,118,0.642516317,0.078003051,0 days 10:55:16,0 days 00:00:47
109,OwnCantaloup,51,1,51,0.581028688,0.133961527,0 days 02:52:49,0 days 00:00:23
110,Speciranslatohj,27,20,1.35,0.502690965,0.005632967,0 days 00:20:02,7 days 23:22:59
111,StraightFoundatio,187,50,3.74,0.503641705,0.252400405,0 days 00:10:16,8 days 17:33:18
112,ArmadilloCraft,1,1,1,0.677259654,0.035044154,0 days 07:12:27,0 days 00:00:54
113,AnyNefariousness9050,-35,1,-35,0.457272163,0.086333802,0 days 03:54:54,0 days 00:26:20
114,NorthMasterpie,546,1,546,0.667694142,0.076284477,0 days 18:49:22,6 days 08:19:07
115,Strict_Air2789,165,1,165,0.565942031,0.074379377,0 days 13:52:36,12 days 07:55:36
116,StarryJenny,21,1262,0.0166,0.590472055,0.020984015,0 days 00:21:51,3 days 23:50:29
117,Visual-Cake7783,15,1,15,0.574106605,0.09988434,0 days 01:20:26,0 days 00:35:30
118,Abject-Benefit-1784,57,1,57,0.467512978,0.003836471,0 days 02:30:35,0 days 00:00:48
119,Low-Smoke-5995,416,1,416,0.603035516,0.098425754,0 days 03:46:26,0 days 00:00:16
120,CucumberGlobal3955,552,1,552,0.580206506,0.073774995,0 days 05:00:23,0 days 00:00:45
121,Unhappy_Conclusio,22,1,22,0.490057514,0.073892953,0 days 04:37:56,0 days 00:55:46
122,CorrectCategor,24,1,24,0.494425828,0.218634942,0 days 03:46:34,0 days 00:00:26
123,Strict_Pangoli,55,154,0.3571,0.524180425,0.028423916,0 days 00:21:01,8 days 22:36:58
124,Dismal_Confusio,349,25,13.96,0.574690295,0.136536922,0 days 00:15:11,8 days 12:13:37
125,ObligationDea,41,4983,0.0082,0.557323725,0.106993606,0 days 00:28:29,6 days 15:03:16
126,NegativeUse365,37,1,37,0.47353087,0.001123782,0 days 00:13:59,3 days 17:16:57
127,ProfessionalWaltz818,62,1,62,0.649861258,0.089762628,0 days 06:36:26,0 days 00:00:32
128,Western_Decisio,65,1,65,0.620694663,0.149400741,0 days 06:21:18,0 days 00:00:38
129,waddyaknow8873,1,1,1,0.397214144,0.001196351,6 days 01:16:46,13 days 18:00:42
130,Aromatic_Recording25,7,1,7,0,0.525638402,0 days 00:17:49,4 days 05:20:23
131,EduardoShelton,110,1,110,0.510143113,0.198122627,0 days 05:54:50,0 days 00:00:36
132,Flat_Gazelle_9684,132,1,132,0.544307819,0.040054836,0 days 06:48:28,0 days 00:12:58
133,LoadComprehensiv,10,1,10,0.556232109,0.002323423,0 days 03:33:09,0 days 00:00:28
134,Western_Beautifu,41,1,41,0.610800409,0.084780815,0 days 05:18:00,0 days 00:00:32
135,Vegetable_Maximu,32,1,32,0.420892406,0.046700775,0 days 05:59:13,0 days 00:07:05
136,Top_Bumblebe,60,1,60,0.399881038,0.014297474,0 days 05:36:17,0 days 00:00:13
137,Junior_Masterpie,0,1,0,0.578602957,0.016878492,0 days 03:35:11,0 days 00:01:54
138,One_Opportunit,17,30254,0.0006,0.476394452,0.056814837,0 days 13:42:09,2 days 16:53:28
139,Initial_Signatur,228,1,228,0.405022764,0.192290627,0 days 06:12:10,0 days 00:00:36
140,SpotPuzzleheade,0,1,0,0.683214356,0.43039306,0 days 00:57:00,0 days 00:36:32
141,Rusniokqk,0,1,0,0.136579931,0.188299672,0 days 00:21:22,4 days 10:43:24
142,IntelligentAppea,22,85,0.2588,0.49456798,0.002846487,0 days 00:37:16,6 days 18:41:14
143,Awkward_Anywhere_386,9,1,9,0.493335565,0.193860932,0 days 04:16:48,0 days 00:23:52
144,RelationMedi,201,2,100.5,0.160679463,0.040570109,0 days 09:17:06,3 days 07:52:25
145,Economy_Members,5,421,0.0119,0.266016298,0.008224549,0 days 00:35:00,0 days 05:42:59
146,SmartWishbone8388,3,521,0.0058,0.40567313,0.074581051,0 days 00:19:59,0 days 00:07:26
147,AdventurousAir7321,33,1,33,0.42499439,0.007084905,0 days 02:48:33,0 days 00:25:47
148,stevenoner,208,1328,0.1566,0.346810068,0.003882738,0 days 13:22:18,0 days 00:00:08
149,CommercialDark4312,81,216,0.375,0.344767459,0.000816485,1 days 08:41:44,0 days 00:00:07
150,CutBoethius,125,4256,0.0294,0.495938984,0.224881669,0 days 19:29:51,0 days 00:17:22
151,DeliciousSaving,161,1031,0.1562,0.506963027,0.000776973,1 days 19:32:09,0 days 00:00:07
152,Pitchedcybele539,87,131,0.6641,0.301839102,0.002370122,0 days 09:54:21,0 days 00:00:05
153,mexicosk,184,10,18.4,0.613803721,0.000809772,5 days 08:10:52,0 days 00:00:06
154,Nookeepergam,223,38,5.8684,0.415366569,0.001096432,0 days 14:17:20,0 days 00:00:08
155,EconomicsLumpy9085,32,1,32,0.735351261,0.402359769,0 days 03:12:47,0 days 00:00:46
156,ImpossibleResort833,30,1,30,0.590523141,0.12792029,0 days 06:16:36,0 days 00:00:45
157,Outrageooffeeh,101,1,101,0.495782369,0.048715586,0 days 04:06:30,0 days 00:00:41
158,Dressdodger,20,1,20,0.650360333,0.001067971,0 days 09:13:57,0 days 00:01:35
159,Sewedvega985,430,1,430,0.640437993,0.039789506,0 days 05:48:20,0 days 00:00:49
160,Oneiros74,-4,1,-4,0.519892365,0.100872952,0 days 05:08:29,0 days 00:00:48
161,SubstantialFrame3364,1,1,1,0.601538336,0.5445951,0 days 00:11:44,1 days 00:10:10
162,Frostyndividuafg,32,1451,0.0221,0.450552631,0.207900404,0 days 00:40:48,5 days 08:26:55
163,jachary1,6,1,6,0.712211294,0.028582311,0 days 05:35:04,0 days 00:03:57
164,Kuzn67,2,1,2,0.693785444,0.305308326,0 days 01:52:20,0 days 00:00:35
165,dimlypamper,670,1,670,0.331924046,0.014273678,0 days 04:12:06,0 days 00:00:28
166,Successful-Win-7772,11,1,11,0.491306801,0.025264474,0 days 08:04:26,0 days 00:00:23
167,Emplolternatif,28,1,28,0.581030211,0.018819494,0 days 07:58:32,0 days 00:00:39
168,ExpressResource2463,18,1,18,0.535294971,0.314752818,0 days 06:11:33,0 days 00:00:45
169,Particularcghjds,77,1,77,0.561625222,0.016776137,0 days 06:55:23,0 days 00:01:39
170,OkIndepend,28,1,28,0.614137093,0.497637798,0 days 00:44:54,0 days 06:13:00
171,GeologistDesigner217,27,612,0.0441,0.558522998,0.39317877,0 days 00:40:02,0 days 03:36:29
172,Somescription,73,1,73,0.305789717,0.268381657,0 days 03:05:58,0 days 00:25:37
173,NoManbhgvf,15,1,15,0.207761938,0.077214194,0 days 03:05:24,0 days 00:36:52
174,Washedvoyage65,-12,1,-12,0.542468614,0.086956652,0 days 04:34:41,0 days 00:08:51
175,Abnormalharrison87,110,983,0.1119,0.339258935,0.040395537,0 days 00:26:59,3 days 21:57:57
176,poli1232233,3295,1,3295,0.396946114,0.581355197,0 days 02:38:56,0 days 01:00:29
177,tristang4,37,1,37,0.417329155,0.002284196,0 days 00:52:06,0 days 00:00:10
178,Responsiblakf,648,1,648,0.42926449,0.381995215,0 days 00:36:38,0 days 02:21:42
179,strictlygird93,77,3160,0.0244,0.636802319,0.02073711,0 days 01:04:52,1 days 01:44:18
180,AvailableWest1052,67,1,67,0.5201937,0.017352023,0 days 04:44:34,0 days 23:10:00
181,FastVeterinarian591,-20,1,-20,0.4783114,0.00397535,0 days 00:46:27,0 days 00:00:12
182,freemarketingbrowser,19,1,19,0.382765176,0.155589147,0 days 00:18:29,0 days 07:09:38
183,inclinedmanpad78,5,29,0.1724,0.820485906,0.114922196,0 days 00:15:59,0 days 00:11:14
184,Basilternative,1,3,0.3333,0.873062061,0.02881147,0 days 00:20:57,0 days 00:11:36
185,Psychologicoofgju,7,135,0.0519,0.443785353,0.002248598,0 days 00:16:50,0 days 00:11:16
186,Explanationfhcx,450,1,450,0.632691622,0.200950973,0 days 03:18:53,0 days 00:02:28
187,SubjectDiscipline10,57,1,57,0.557077679,0.002568941,0 days 00:17:10,0 days 00:44:48
188,Anyngineeringfd,10,1,10,0.358886004,0.249334194,0 days 02:22:05,0 days 00:00:39
189,Ablnvestigator,-54,1,-54,0.291434385,0.267665513,0 days 01:09:28,0 days 00:00:12
190,Individualfsxd,21,3,7,0.416799275,0.186531119,0 days 00:14:01,6 days 07:48:50
191,Flasbilgi,24,1,24,0.439580335,0.000755543,0 days 00:22:04,2 days 23:37:38
192,Antiqurangehkg,8,1,8,0.612846054,0.241599196,0 days 00:37:24,0 days 16:27:30
193,Zealousideetgui,27,36,0.75,0.409838128,0.217085988,0 days 00:17:39,4 days 14:48:01
194,TopAdministrative981,-13,1,-13,0.689150681,0.061975667,0 days 00:59:54,0 days 00:34:34
195,Easy_Specialist_1879,112,1,112,0.321917613,0.046794227,0 days 05:33:53,0 days 00:00:45
196,ElegantJar,34,1,34,0.458781956,0.001038271,1 days 23:10:52,0 days 00:00:55
197,Menningerfelixv6h,33,320,0.1031,0.431202205,0.033336604,0 days 00:16:22,10 days 01:00:24
198,unsoundAudile,831,92,9.0326,0.217217473,0.187758346,0 days 00:12:05,9 days 05:34:51
199,goldmanic,27,1,27,0.305793793,0.125449529,0 days 13:15:49,0 days 00:29:32
200,KentonSalinas,37,1,37,0.456038275,0.010740074,0 days 14:39:48,0 days 00:08:45
201,HeavyLingonberry644,58,1,58,0.482384286,0.000892102,0 days 08:30:29,0 days 00:00:06
202,YahyaKemalTR,115,19,6.0526,0.326650596,0.00152191,1 days 08:29:21,0 days 00:00:07
203,TightlyBatty,76,1550,0.049,0.488603632,0.000670824,1 days 07:14:40,0 days 00:00:07
204,ActuallyHarebrained,60,1,60,0.465345121,0.000793415,0 days 12:57:46,0 days 00:00:08
205,PatreciaSingsen4547,49,1,49,0.417840101,0.000731711,0 days 12:46:00,0 days 00:00:07
206,RideReasonable3737,24,2989,0.008,0.421288253,0.000720145,1 days 13:56:10,0 days 00:00:12
207,luvende,108,1867,0.0578,0.427544257,0.0674121,1 days 19:56:51,3 days 11:35:33
208,Josselynok,83,1,83,0.426674163,0.000836278,6 days 04:52:48,0 days 00:00:06
209,Grundyug,65,1,65,0.35331442,0.000731328,0 days 14:12:09,0 days 00:00:18
210,Spoorlelejf,105,1993,0.0527,0.429496212,0.017205603,2 days 00:21:46,0 days 00:00:07
211,RichardCooka,133,930,0.143,0.323051585,0.000804665,0 days 18:39:31,0 days 00:00:08
212,Liblarlr,0,1,0,0.506238537,0.000716707,0 days 09:31:42,0 days 00:11:41
213,Marinistvh,40,1,40,0.595938259,0.005591844,0 days 05:48:34,0 days 00:00:08
214,MinimumSituation374,136,71,1.9155,0.235865387,0.005920533,0 days 21:01:19,0 days 00:03:48
215,ExpressCup5629,149,41,3.6341,0.310999315,0.008700733,0 days 08:35:04,0 days 00:05:21
216,CarefulLanguage1840,806,6,134.3333,0.339541693,0.329977924,0 days 00:14:57,15 days 12:24:14
217,PlasticSeveral2784,-1,1,-1,0.381490734,0.051254389,0 days 08:33:18,0 days 00:00:36
218,DiamondSevere2781,74,518,0.1429,0.622329491,0.000720633,0 days 05:19:28,2 days 06:44:46
219,TrainingSignal2716,-6,1,-6,0.293920109,0.015800299,0 days 06:32:15,0 days 02:36:26
220,Visibleixl,81,59,1.3729,0.45002317,0.212406189,0 days 01:39:24,0 days 00:00:44
221,Upfieldpaperboy,39,4,9.75,0.300388918,0.040653503,0 days 01:15:03,0 days 03:11:19
222,cleverlyMarch,72,16,4.5,0.238115697,0.213297195,0 days 01:51:54,0 days 01:30:47
223,wrathfulvulnerable,-1,1,-1,0.642596818,0.337582391,0 days 01:44:04,0 days 00:00:45
224,SpiritualPhone3015,13,1,13,0.179447377,0.425711441,0 days 10:33:42,53 days 06:51:26
225,NeitherIngenuity912,160,1,160,0.461890327,0.132597539,0 days 02:04:18,0 days 00:00:27
226,IntelligentLuck817,30,3,10,0.433560134,0.392318638,0 days 00:17:56,8 days 08:16:16
227,OpenStatistician514,24,1,24,0.607912246,0.060123763,0 days 01:14:34,0 days 00:00:17
228,MoreGiraffe7619,-6,1,-6,0.06396961,0.048835306,0 days 00:29:10,0 days 00:27:25
229,GladlyInternal,193,1329,0.1452,0.436192787,0.154434813,0 days 00:30:40,6 days 02:46:27
230,FickleLetterhead4433,142,21,6.7619,0.747341094,0.132989241,0 days 16:12:47,0 days 19:50:38
231,ThinkTonight7245,21,1,21,0.62688021,0.003550501,0 days 21:04:28,0 days 00:00:56
232,Advanceddfre,7,1,7,0.353022323,0.002033063,0 days 06:02:11,0 days 00:00:38
233,OneInternational584,73,10,7.3,0.385681783,0.118206794,0 days 02:17:33,0 days 00:00:31
234,FavoriteLodging,2,1,2,0.175620763,0.219950482,0 days 02:22:10,0 days 18:05:12
235,SuspiciousArmy3428,199,1,199,0.445086906,0.004678103,0 days 00:31:23,0 days 13:00:51
236,PossibleType7772,3,1,3,0.406155372,0.123638733,0 days 03:42:07,0 days 01:48:09
237,AdditionalGap-3003,-2,1,-2,0.552185467,0.001189456,0 days 00:28:45,0 days 00:00:33
238,AromaticForce3395,0,3,0,0.302129051,0.063374491,4 days 08:23:53,0 days 01:42:38
239,Lompje,2,1,2,0.614178001,0.007433156,0 days 00:36:00,0 days 06:13:45
240,ScarletCroft,5,1,5,0.703205056,0.17159059,0 days 03:42:58,0 days 11:08:26
241,Additional-Hunt-432,2,1,2,0.125052559,0.002817075,0 days 00:48:31,0 days 16:24:46
242,Brilliant-Square2595,37,14,2.6429,0.313298649,0.276030543,0 days 01:58:38,0 days 02:56:27
243,Chance_Reactio,10,1,10,0.46462749,0.0011419,0 days 02:56:48,0 days 18:05:57
244,Flimmunk,185,9,20.5556,0.53717591,0.25587671,0 days 06:58:35,0 days 00:00:51
245,Sad-Midnight4991,38,2,19,0.240255076,0.000702039,0 days 00:20:12,0 days 11:00:34
246,Seharacterhyi,3,1,3,0.629955661,0.033702038,0 days 00:24:38,0 days 00:30:22
247,Boring_Platyp,117,1,117,0.272511311,0.009058504,0 days 03:18:20,0 days 00:01:32
248,LegitimateMonitor654,226,1,226,0.726590323,0.330134737,0 days 00:54:24,0 days 04:34:00
249,AngeliaStern,-100,1,-100,0,0.114858218,0 days 01:35:17,0 days 06:30:00
250,PointGigs,0,663,0,-0.093255722,0.00173621,0 days 02:06:06,216 days 06:25:39
251,ViolentlyFluttering,1,6,0.1667,0.356090954,0.004215212,0 days 17:02:37,29 days 20:25:54
252,Just_Calligraph,-6,366,-0.0164,0.273875976,0.066595464,0 days 03:37:43,0 days 01:13:32
253,DryEye8241,1,84,0.0119,0.793557872,0.06938904,0 days 02:15:46,0 days 06:51:05
254,BusEvening1885,0,2,0,0.031160733,0.140434615,0 days 00:06:01,13 days 05:59:50
255,LividCulprit,-3,1,-3,0.514502403,0.001116956,0 days 03:13:34,0 days 00:00:54
256,GiuseppeFedor,337,23,14.6522,0.557244469,0.026876144,0 days 02:01:53,0 days 00:01:09
257,KaputVictory,149,8,18.625,0.433263869,0.080339482,0 days 02:44:05,0 days 02:47:02
258,WeeklyApologise,-7,1,-7,0.538527145,0.155772818,0 days 04:06:55,0 days 00:01:40
259,EntrepreneurU,8327,2169,3.8391,0.698240923,0.02763423,0 days 03:42:52,18 days 03:49:35
260,Zealousideal_Hat6306,3,1,3,0.394953777,0.05461833,0 days 02:08:29,0 days 02:09:56
261,LeadingFox270,34,1,34,0.342717669,0.009929125,0 days 03:05:02,0 days 02:00:18
262,sitixa1763,22,1,22,0.612205531,0.232364534,46 days 00:49:51,1 days 11:13:14
263,DifficultGazell,77,1,77,0.372006954,0.101964184,0 days 02:17:31,0 days 03:16:31
264,ProfessionalLife3641,44,41,1.0732,0.497135303,0.067137466,0 days 03:35:00,0 days 01:49:32
265,Nssumptiogk,91,6572,0.0138,0.123860381,0.107041866,282 days 14:21:40,0 days 09:20:52
266,fortor_1,34,20,1.7,0.293480896,0.067562986,0 days 00:38:58,8 days 03:01:10
267,abyichan,4,1,4,0.157866578,0.069506083,0 days 01:19:14,0 days 00:35:53
268,AdmirableTeaf,8,1,8,0.429958407,0.001283716,0 days 01:13:24,0 days 05:33:10
269,Resident_Insid,10,1,10,0.289058262,0.0133635,0 days 03:07:12,0 days 04:59:35
270,Emergencyha,148,15,9.8667,0.49816514,0.124985236,0 days 02:08:08,0 days 02:17:21
271,Actual-Blueberry6524,16,1,16,0.510801887,0.003262366,0 days 02:16:57,0 days 00:00:25
272,Helpful_Feature590,50,1,50,0.508957062,0.003907412,0 days 08:47:31,0 days 01:23:30
273,Dailytwist31,-54,1,-54,0.53773337,0.268979012,0 days 06:04:40,0 days 00:01:18
274,Dazzling-Badger-119,136,57,2.386,0.546989503,0.164619107,0 days 04:02:48,0 days 01:18:39
275,Sthomas785,10,1,10,0.567535815,0.037240581,0 days 01:37:06,0 days 04:00:42
276,wiseb7,59,20,2.95,0.421560189,0.050412379,0 days 03:27:41,0 days 03:01:12
277,Typical-Catch6014,46,1,46,0.655257596,0.005244249,0 days 07:41:10,0 days 00:01:04
278,Key_Supermar,10,1,10,0.514729653,0.001319132,0 days 04:07:38,0 days 02:09:22
